Nom_Station,Adresse,Type,Directeur.rice,RedChef,RedChefAdj,RespProg,RespTech,Latitude,Longitude,Territoire,google_lat,google_lon,google_status
RER ANGOULÈME,Mairie de ANGOULÈME,RER,MARSAT Pierre,,,,,45.6658715,0.2370882,Sud Ouest,45.6488766,0.1567288,OK
RER ANNECY,Mairie de ANNECY,RER,VIVION Richard,,,,,45.9241255,5.906022,Est du Sud,45.899247,6.129384,OK
RER ARCACHON,Mairie de ARCACHON,RER,HISCOCK Stephane,,,,,44.4818701,-0.8831709,Sud Ouest,44.6612588,-1.1705716,OK
RER ARRAS,Mairie de ARRAS,RER,LAMARRE VANESSA,,,,,50.3826985,2.279199,Nord Est,50.2934211,2.7787176,OK
RER AUBENAS,Mairie de AUBENAS,RER,PLUVY PIERRE JEAN,,,,,44.6209344,4.3899141,Est du Sud,44.6208798,4.3900426,OK
RER BOURGES,Mairie de BOURGES,RER,BENOIT Michel,,,,,47.0095776,2.2946889,Centre,47.10687420000001,2.4050916,OK
RER BOURGOIN,Mairie de BOURGOIN,RER,BALLANDRA Antoine,,,,,45.5489655,5.223853,Est du Sud,45.597108,5.27212,OK
RER BREST,Mairie de BREST,RER,OLIVIER NICOLAS,,,,,48.3276056,-4.1591183,Nord Ouest,48.3986344,-4.454643,OK
RER BÉZIERS,Mairie de BÉZIERS,RER,POCHER STEPHANE,,,,,43.3429925,3.213733,Sud Med,43.3427915,3.2132624,OK
RER CALAIS,Mairie de CALAIS,RER,DARRIET Matthieu,,,,,50.9476992,1.7593397,Nord Est,50.9526259,1.8544302,OK
RER COLMAR,Mairie de COLMAR,RER,CHHUM Guillaume,,,,,48.0794681,7.3575886,Nord Est,48.0794357,7.358032399999999,OK
RER DAX,Mairie de DAX,RER,FERRIER Paul,,,,,43.708607,-1.051859,Sud Ouest,43.70863809999999,-1.0518655,OK
RER EPINAL,Mairie de EPINAL,RER,COLIN Thierry,,,,,47.92217,6.7608202,Nord Est,48.172402,6.449403,OK
RER EVREUX,Mairie de EVREUX,RER,PHILIPPOT Laurent,,,,,48.9686133,1.0988773,Nord Ouest,49.0270058,1.1515581,OK
RER LA ROCHE SUR YON,Mairie de LA ROCHE SUR YON,RER,TAPON YVES-RENE,,,,,47.0036442,-1.3319423,Nord Ouest,46.66999240000001,-1.4278706,OK
RER LE HAVRE,Mairie de LE HAVRE,RER,BONTE Amélie,,,,,49.5329188,0.6009748,Nord Ouest,49.4945082,0.1079133,OK
RER MENDE,Mairie de MENDE,RER,MAKHLOUFI SAID,,,,,44.640908,3.6749843,Sud Med,44.517743,3.5016431,OK
RER MONTBÉLIARD,Mairie de MONTBÉLIARD,RER,JAFFRELOT Dylan,,,,,47.2941925,6.5835149,Nord Est,47.5103829,6.7980828,OK
RER MULHOUSE,Mairie de MULHOUSE,RER,GENTHON Patrick,,,,,47.7816198,7.3465099,Nord Est,47.7505408,7.3358441,OK
RER NIORT,Mairie de Niort,RER,,,,,,46.3237218,-0.4647037,Sud Ouest,46.3238369,-0.4648122,OK
RER SAINT-BRIEUC,Mairie de SAINT-BRIEUC,RER,MOISON JOHAN,,,,,48.5137096,-2.7641079,Nord Ouest,48.51503719999999,-2.7632172,OK
RER SAINT-LÔ,Mairie de SAINT-LÔ,RER,,,,,,49.1160856,-1.0909399,Nord Ouest,49.1160284,-1.0909195,OK
RER SAINT-NAZAIRE,Mairie de SAINT-NAZAIRE,RER,ROUSSEL Helene,,,,,42.6687936,2.9904602,Nord Ouest,42.6687725,2.9904611,OK
RER SENS,Mairie de Sens,RER,Renaud Candelier,,,,,48.2116053,3.2577891,Est du Sud,48.1988961,3.2827185,OK
RER TOULON,Mairie de TOULON,RER,GLOTIN WININGER Sophie,,,,,43.1203312,5.9325235,Sud Med,43.1203083,5.9325079,OK
RER TULLE,Mairie de TULLE,RER,GRAZIANI Philippe,,,,,45.2657144,1.7716186,Centre,45.2658829,1.7720313,OK
RER VALENCIENNES,Mairie de VALENCIENNES,RER,PROUVOYEUR JULIEN,,,,,50.3299502,3.6014705,Nord Est,50.3577957,3.5238749,OK
RER VANNES,Mairie de VANNES,RER,COLAS Frederick,,,,,47.658374,-2.7609302,Nord Ouest,47.672956,-2.7643836,OK
RER VESOUL,Mairie de VESOUL,RER,FERNANDEZ JEAN FRANCOIS,,,,,47.619778,6.154297,Est du Sud,47.61923,6.15456,OK
Bureau AJACCIO,"Résidence Les Pins, Av. Impératrice Eugénie, 20000 Ajaccio",Bureau,,,,,,41.91954801359022,8.733442944988854,Sud Med,41.9214861,8.7344498,OK
Bureau LYON,44 boulevard marius vivier merle,Bureau,,,,,,45.7594575776334,4.85773186250374,Est du Sud,45.7593019,4.857728199999999,OK
Bureau MARSEILLE,"98 Rue de l'Évêché, 13002 Marseille",Bureau,,,,,,43.3020906,5.3673208,Sud Med,43.30194059999999,5.3672961,OK
